kommunenummer,navn,år,befolkning,latitude,longitude,fylke_navn_2019,fylke_navn_2020
1021,Marnardal,2019,2297,58.290799418927236,7.545567200180478,VEST-AGDER,AGDER
1026,Åseral,2019,939,58.69979090068374,7.399903386189989,VEST-AGDER,AGDER
1027,Audnedal,2019,1780,58.37177762591159,7.382173345516157,VEST-AGDER,AGDER
1029,Lindesnes,2019,4953,58.12279145661684,7.292250422965428,VEST-AGDER,AGDER
1032,Lyngdal,2019,8609,58.180834429469854,7.091731569927359,VEST-AGDER,AGDER
1034,Hægebostad,2019,1683,58.47201843319216,7.198743749601081,VEST-AGDER,AGDER
1037,Kvinesdal,2019,6048,58.514757094477666,6.9792384662973594,VEST-AGDER,AGDER
1046,Sirdal,2019,1839,58.86640624541846,6.839884097254374,VEST-AGDER,AGDER
1101,Eigersund,2019,14830,58.50157391097635,6.140947588413655,ROGALAND,ROGALAND
1102,Sandnes,2019,77246,58.86357709791423,5.855508033789402,ROGALAND,ROGALAND
1103,Stavanger,2019,134037,58.948114188526034,5.697246370888421,ROGALAND,ROGALAND
1106,Haugesund,2019,37250,59.447854534069705,5.302926532753721,ROGALAND,ROGALAND
1111,Sokndal,2019,3305,58.37580557391511,6.33699698259452,ROGALAND,ROGALAND
1112,Lund,2019,3213,58.48990428423561,6.4708840561197665,ROGALAND,ROGALAND
1114,Bjerkreim,2019,2807,58.66323078494379,6.201254924721463,ROGALAND,ROGALAND
1119,Hå,2019,18814,58.59971262381971,5.737650820123421,ROGALAND,ROGALAND
1120,Klepp,2019,19354,58.76511949259798,5.598650146683899,ROGALAND,ROGALAND
1121,Time,2019,18795,58.70866628051382,5.770999630285504,ROGALAND,ROGALAND
1122,Gjesdal,2019,11899,58.8130562071566,6.252204120694003,ROGALAND,ROGALAND
1124,Sola,2019,26582,58.886171381067264,5.619145582549124,ROGALAND,ROGALAND
1127,Randaberg,2019,11053,58.99992721332403,5.61410474358477,ROGALAND,ROGALAND
1129,Forsand,2019,1193,59.02188560157681,6.482200621306219,ROGALAND,ROGALAND
1130,Strand,2019,12720,59.05349517740506,6.060413944376699,ROGALAND,ROGALAND
1133,Hjelmeland,2019,2684,59.22317543862205,6.44551955955663,ROGALAND,ROGALAND
1134,Suldal,2019,3794,59.518430599726805,6.609619842802309,ROGALAND,ROGALAND
1135,Sauda,2019,4597,59.70316993059319,6.450904427791378,ROGALAND,ROGALAND
1141,Finnøy,2019,3150,59.211343948751114,5.921552992065484,ROGALAND,ROGALAND
1142,Rennesøy,2019,4847,59.100660965715356,5.689652765035426,ROGALAND,ROGALAND
1144,,2019,516,,,,
1145,Bokn,2019,840,59.215132844247506,5.437139888187172,ROGALAND,ROGALAND
1146,Tysvær,2019,11028,59.38000781126743,5.589475960664517,ROGALAND,ROGALAND
1149,Karmøy,2019,42161,59.27230700853913,5.268740155578206,ROGALAND,ROGALAND
1151,Utsira,2019,196,59.307169207830825,4.886248040089382,ROGALAND,ROGALAND
1160,Vindafjord,2019,8743,59.546686872336146,5.798743364885705,ROGALAND,ROGALAND
1201,Bergen,2019,281190,60.3641180503597,5.392565732822766,HORDALAND,VESTLAND
1211,Etne,2019,4077,59.77466552652013,6.191558423110739,HORDALAND,VESTLAND
1216,Sveio,2019,5721,59.58224722748658,5.407343661507419,HORDALAND,VESTLAND
1219,Bømlo,2019,11960,59.74642913873685,5.2167811834992595,HORDALAND,VESTLAND
1221,Stord,2019,18699,59.82475368534169,5.466116779919886,HORDALAND,VESTLAND
1222,Fitjar,2019,3201,59.898419791842194,5.359801551278733,HORDALAND,VESTLAND
1223,Tysnes,2019,2846,59.996993087940055,5.545200843184263,HORDALAND,VESTLAND
1224,Kvinnherad,2019,13137,59.97586182821884,6.073957723262588,HORDALAND,VESTLAND
1227,Jondal,2019,1087,60.25063467258458,6.306582305976993,HORDALAND,VESTLAND
1228,Odda,2019,6745,59.957574980648715,6.80080903776938,HORDALAND,VESTLAND
1231,Ullensvang,2019,3320,60.23709897081338,6.9171706610098305,HORDALAND,VESTLAND
1232,Eidfjord,2019,906,60.36799499188327,7.3610653664149694,HORDALAND,VESTLAND
1233,Ulvik,2019,1093,60.60988305368757,7.183745975286591,HORDALAND,VESTLAND
1234,Granvin,2019,937,60.550067328177576,6.697952262608134,HORDALAND,VESTLAND
1235,Voss,2019,14606,60.7061745973505,6.439507477184323,HORDALAND,VESTLAND
1238,Kvam,2019,8441,60.38665184772128,6.121374840060205,HORDALAND,VESTLAND
1241,Fusa,2019,3861,60.21577789265153,5.780711212599842,HORDALAND,VESTLAND
1242,Samnanger,2019,2465,60.399844636480516,5.797181322607081,HORDALAND,VESTLAND
1243,Os,2019,20804,60.223528822536224,5.46902536690536,HORDALAND,VESTLAND
1244,Austevoll,2019,5212,60.04038840870801,5.197243713500869,HORDALAND,VESTLAND
1245,Sund,2019,7062,60.22831483909183,5.0645816824109104,HORDALAND,VESTLAND
1246,Fjell,2019,26166,60.349795601000785,5.05506240452323,HORDALAND,VESTLAND
1247,Askøy,2019,29275,60.46899120207567,5.141422347935006,HORDALAND,VESTLAND
1251,Vaksdal,2019,4045,60.679107659959215,5.916943009561983,HORDALAND,VESTLAND
1252,Modalen,2019,380,60.890557174462174,5.9345247654779705,HORDALAND,VESTLAND
1253,Osterøy,2019,8120,60.535874689465935,5.553113146938896,HORDALAND,VESTLAND
1256,Meland,2019,8187,60.56266002828177,5.113116063821132,HORDALAND,VESTLAND
1259,Øygarden,2019,4889,60.574301950536785,4.857085025570646,HORDALAND,VESTLAND
1260,Radøy,2019,5091,60.66786616735531,5.032602172429925,HORDALAND,VESTLAND
1263,Lindås,2019,15812,60.69335156858712,5.385477738390967,HORDALAND,VESTLAND
1264,Austrheim,2019,2887,60.780576181687735,4.943202909726189,HORDALAND,VESTLAND
1265,Fedje,2019,562,60.76821114867939,4.720925337472279,HORDALAND,VESTLAND
1266,Masfjorden,2019,1711,60.865769504398976,5.494977877536153,HORDALAND,VESTLAND
1401,Flora,2019,11852,61.62165836143811,5.372866180295495,SOGN OG FJORDANE,MØRE OG ROMSDAL
1401,Flora,2019,11852,61.62165836143811,5.372866180295495,SOGN OG FJORDANE,VESTLAND
1411,Gulen,2019,2322,60.97130945435285,5.235804674779484,SOGN OG FJORDANE,MØRE OG ROMSDAL
1411,Gulen,2019,2322,60.97130945435285,5.235804674779484,SOGN OG FJORDANE,VESTLAND
1412,Solund,2019,820,61.1087483150609,4.877182988046631,SOGN OG FJORDANE,MØRE OG ROMSDAL
1412,Solund,2019,820,61.1087483150609,4.877182988046631,SOGN OG FJORDANE,VESTLAND
